Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,139.970001,140.320007,137.100006,137.850006,137.850006,50017300
2023-08-10,139.070007,140.410004,137.490005,138.559998,138.559998,58928400
2023-08-11,137.399994,139.330002,137.000000,138.410004,138.410004,42832100
2023-08-14,138.300003,140.589996,137.750000,140.570007,140.570007,47148700
2023-08-15,140.050003,141.279999,137.229996,137.669998,137.669998,42781500
2023-08-16,137.190002,137.270004,135.009995,135.070007,135.070007,41675900
2023-08-17,135.460007,136.089996,133.529999,133.979996,133.979996,48354100
2023-08-18,131.619995,134.070007,131.149994,133.220001,133.220001,48469400
2023-08-21,133.740005,135.190002,132.710007,134.679993,134.679993,41442500
2023-08-22,135.080002,135.649994,133.729996,134.250000,134.250000,32935100
2023-08-23,134.500000,135.949997,133.220001,135.520004,135.520004,42801000
2023-08-24,136.399994,136.779999,131.830002,131.839996,131.839996,43646300
2023-08-25,132.470001,133.869995,130.580002,133.259995,133.259995,44147500
2023-08-28,133.779999,133.949997,131.850006,133.139999,133.139999,34108400
2023-08-29,133.380005,135.139999,133.250000,134.910004,134.910004,38646100
2023-08-30,134.929993,135.679993,133.919998,135.070007,135.070007,36137000
2023-08-31,135.059998,138.789993,135.000000,138.009995,138.009995,58781300
2023-09-01,139.460007,139.960007,136.880005,138.119995,138.119995,40948300
2023-09-05,137.729996,137.800003,135.820007,137.270004,137.270004,40636700
2023-09-06,136.320007,137.449997,134.610001,135.360001,135.360001,41785500
2023-09-07,133.899994,138.029999,133.160004,137.850006,137.850006,48498900
2023-09-08,136.860001,138.850006,136.750000,138.229996,138.229996,38348200
2023-09-11,138.750000,143.619995,138.639999,143.100006,143.100006,56764500
2023-09-12,142.320007,143.000000,140.610001,141.229996,141.229996,42668500
2023-09-13,140.949997,144.979996,140.869995,144.850006,144.850006,60465200
2023-09-14,145.080002,145.860001,142.949997,144.720001,144.720001,64033600
2023-09-15,142.690002,143.570007,140.089996,140.389999,140.389999,102861700
2023-09-18,140.479996,141.750000,139.220001,139.979996,139.979996,42823500
2023-09-19,138.699997,138.839996,135.559998,137.630005,137.630005,61482500
2023-09-20,138.550003,139.369995,135.199997,135.289993,135.289993,46263700
2023-09-21,131.940002,132.240005,129.309998,129.330002,129.330002,70234800
2023-09-22,131.110001,132.029999,128.520004,129.119995,129.119995,59904300
2023-09-25,129.360001,131.779999,128.770004,131.270004,131.270004,46017800
2023-09-26,130.119995,130.389999,125.279999,125.980003,125.980003,73048200
2023-09-27,125.760002,127.480003,124.129997,125.980003,125.980003,66553400
2023-09-28,124.040001,126.580002,123.040001,125.980003,125.980003,54555000
2023-09-29,128.199997,129.149994,126.320000,127.120003,127.120003,62377600
2023-10-02,127.279999,130.470001,126.540001,129.460007,129.460007,48029700
2023-10-03,128.059998,128.520004,124.250000,124.720001,124.720001,51565000
2023-10-04,126.059998,127.360001,125.680000,127.000000,127.000000,44203900
2023-10-05,126.709999,126.730003,124.330002,125.959999,125.959999,39660600
2023-10-06,124.160004,128.449997,124.129997,127.959999,127.959999,46795900
2023-10-09,126.220001,128.789993,124.760002,128.259995,128.259995,38773700
2023-10-10,128.820007,130.740005,128.050003,129.479996,129.479996,42178600
2023-10-11,129.740005,132.050003,129.610001,131.830002,131.830002,40741800
2023-10-12,132.169998,134.479996,131.229996,132.330002,132.330002,55528600
2023-10-13,132.979996,133.309998,128.949997,129.789993,129.789993,45786600
2023-10-16,130.690002,133.070007,130.429993,132.550003,132.550003,42832900
2023-10-17,130.389999,132.580002,128.710007,131.470001,131.470001,49344600
2023-10-18,129.899994,130.669998,127.510002,128.130005,128.130005,42699500
2023-10-19,130.570007,132.240005,127.470001,128.399994,128.399994,60961400
2023-10-20,128.050003,128.169998,124.970001,125.169998,125.169998,56343300
2023-10-23,124.629997,127.879997,123.980003,126.559998,126.559998,48260000
2023-10-24,127.739998,128.800003,126.339996,128.559998,128.559998,46477400
2023-10-25,126.040001,126.339996,120.790001,121.389999,121.389999,74577500
2023-10-26,120.629997,121.639999,118.349998,119.570000,119.570000,100419500
2023-10-27,126.199997,130.020004,125.519997,127.739998,127.739998,125309300
2023-10-30,129.720001,133.000000,128.559998,132.710007,132.710007,72485500
2023-10-31,132.750000,133.570007,131.710007,133.089996,133.089996,51589400
